geojson_country,education_expenditures,purchasing_power_parity,literacy_rate,distribution_of_family_income,unemployment_rate
Pakistan,2.608333333,6.68331E+11,54.13076923,30.46923077,8.038461538
Palau,9.7,211653846.2,94.21538462,,3.623076923
Palestine,4.1,13978846154,94.51538462,34.5,22.04615385
Panama,3.575,63062307692,93.43076923,52.84615385,5.476923077
Papua New Guinea,,19577692308,60.73846154,50.9,2.030769231
Paracel Islands,,,,,
Paraguay,4.45,49110000000,94.19230769,53.80769231,6.461538462
Peru,3.091666667,3.22023E+11,92.13846154,47.72307692,6.784615385
Philippines,2.675,5.39662E+11,94.45384615,45.25384615,6.830769231
Pitcairn Islands,,,,,
Poland,5.025,8.39962E+11,99.76153846,33.52307692,10.06153846
Portugal,5.108333333,2.62077E+11,94.69230769,36.77692308,11.06923077
Puerto Rico,6.225,86761538462,93.20769231,,12.84615385
Qatar,3.116666667,2.02949E+11,93.87692308,41.1,1.984615385
Republic of Congo,4.275,20739461538,82.06923077,48.9,45.71428571
Republic of Serbia,4.47,85098461538,97.57692308,33.50833333,19.67692308
Romania,3.633333333,3.29185E+11,97.96923077,29.81538462,5.892307692
Russia,3.941666667,2.85546E+12,99.57692308,41.62307692,6.146153846
Rwanda,4.3,16296615385,70.6,47.35384615,2.7
Saint Barthelemy,,,,,
Saint Kitts and Nevis,6.191666667,1044884615,97.8,,4.5
Saint Lucia,5.225,2023846154,90.1,,20
Saint Martin,,561500000,,,
Saint Pierre and Miquelon,,145300000,99,,9.9
Saint Vincent and the Grenadines,6.125,1168000000,96,,16.75384615
Samoa,5.1,1082538462,99.29230769,,5.2
San Marino,2.4,1557615385,96,,6.1
Sao Tome and Principe,5.9,455176923.1,78.68461538,30.8,12.625
Saudi Arabia,5.6,1.06496E+12,86.80769231,45.9,10.13076923
Senegal,5.8,31558461538,47.53076923,40.91538462,48
Seychelles,4.6,2126076923,91.8,46.8,2.391666667
Sierra Leone,3.533333333,8001307692,41.36153846,54.00769231,12.05
Singapore,3.116666667,3.53915E+11,94.72307692,46.96153846,2.215384615
Sint Maarten,,580970000,,,11.58
Slovakia,4.033333333,1.38638E+11,99.6,25.4,10.96153846
Slovenia,5.508333333,60253846154,99.7,25.36923077,9.546153846
Solomon Islands,7.32,1401000000,84.1,,
Somaliland,,8722769231,37.8,,
South Africa,5.783333333,6.16954E+11,90.47692308,63.19230769,25.1
South Georgia And The South Sandwich Islands,,,,,
South Georgia and South Sandwich Islands,,,,,
South Korea,4.7,1.61962E+12,97.9,33.44615385,3.476923077
South Sudan,1.02,19296250000,27,46,
Spain,4.466666667,1.48138E+12,97.97692308,33.56153846,18.43076923
Spratly Islands,,,,,
Sri Lanka,2.214285714,1.61911E+11,91.49230769,46.97692308,5.115384615
Sudan,3.625,1.21835E+11,68.45384615,,18.4
Suriname,,6487769231,92.69230769,,9.315384615
Svalbard,,6313000000,,,
Swaziland,7.75,7140000000,84.33636364,50.4,38.90909091
Sweden,7.158333333,4.07592E+11,99,23.88461538,7.223076923
Switzerland,5.3,3.93292E+11,99,31.26153846,3.176923077
Syria,4.833333333,86017692308,82.90769231,,25.96923077
Taiwan,,9.27369E+11,97.02307692,33.53333333,4.230769231
Tajikistan,4.058333333,18848538462,99.66153846,32.6,3.115384615
Thailand,4.591666667,8.04708E+11,93.43846154,46.11538462,1.030769231
The Bahamas,3.6,9749769231,95.6,,11.33846154
Togo,4.291666667,8499615385,62.33076923,46,6.9
Tokelau,,1500000,,,
Tonga,4.328571429,611007692.3,99.10769231,,8.423076923
Trinidad and Tobago,3.95,32899230769,98.78461538,,5.107692308
Tunisia,6.691666667,1.09061E+11,77.92307692,40,15.16153846
Turkey,3.483333333,1.31482E+12,91.53846154,41.00769231,10.65384615
Turkmenistan,3.3375,60970000000,99.26923077,40.8,41.15384615
Turks and Caicos Islands,3.3,440000000,98,,10
Tuvalu,,31182307.69,,,
Uganda,3.233333333,59570769231,72.24615385,42.88461538,9.4
Ukraine,5.858333333,3.40923E+11,99.62307692,27.98461538,7.353846154
United Arab Emirates,1.166666667,3.89923E+11,85.87692308,,2.369230769
United Kingdom,5.766666667,2.42331E+12,99,33.86923077,5.984615385
United Republic of Tanzania,4.783333333,93407692308,71.3,36.67692308,10.3
United States Virgin Islands,,2441230769,,,8.415384615
United States of America,5.266666667,1.62077E+13,99,45,6.438461538
Uruguay,3.658333333,57386153846,98.21538462,44.19230769,7.515384615
Uzbekistan,8.65,1.29358E+11,99.52307692,36.8,3.276923077
Vanuatu,5.891666667,944292307.7,79.72307692,,1.7
Vatican,,,100,,
Venezuela,5.291666667,3.85815E+11,94.83846154,41.43076923,11.82307692
Vietnam,5.175,3.99969E+11,92.96153846,36.98461538,3.369230769
Wake Island,,,,,
Wallis and Futuna,,60000000,50,,13.06153846
Western Sahara,,904727272.7,,,
Yemen,5.781818182,63776153846,61.23076923,37.1,31.92307692
Zambia,1.390909091,37093846154,71.03076923,53.89230769,25.53846154
Zimbabwe,4.71,16688538462,87.99230769,49.55384615,78.66153846
