,country,map_references,lattitude,longitude,education_expenditures,purchasing_power_parity,per_capita_purchasing_power_parity,literacy_rate,distribution_of_family_income,unemployment_rate,povery_rate,household_income_lowest_ten_percent,household_income_highest_ten_percent
59,Cote D'Ivoire,Africa,8.0,-5.0,4.4,97160000000,3900,43.1,41.5,9.4,46.3,2.2,31.8
60,Croatia,Europe,45.166666666666664,15.5,4.6,102100000000,24700,99.3,30.8,12.4,19.5,2.7,23
61,Cuba,Central America and the Caribbean,21.5,-80.0,12.8,137000000000,12300,99.8,,2.6,,,
62,Curacao,Central America and the Caribbean,12.166666666666666,-69.0,4.9,3128000000,15000,,,13.0,,,
63,Cyprus,Middle East,35.0,33.0,6.4,31780000000,37200,99.1,34.8,11.1,,3.3,28.8
64,Czechia,Europe,49.75,15.5,5.8,375900000000,35500,99.0,25.0,2.9,9.7,4.1,21.7
65,Denmark,Europe,56.0,10.0,7.6,287800000000,50100,,29.0,5.7,13.4,9.0,23.4
66,Dhekelia,Middle East,34.983333333333334,33.75,,,,,,,,,
67,Djibouti,Africa,11.5,43.0,4.5,3640000000,3600,,40.9,40.0,23.0,2.4,30.9
68,Dominica,Central America and the Caribbean,15.416666666666666,-61.333333333333336,3.4,783000000,11000,,,23.0,29.0,,
69,Dominican Republic,Central America and the Caribbean,19.0,-70.66666666666667,,173000000000,17000,93.8,47.1,5.1,30.5,1.9,37.4
70,Ecuador,South America,-2.0,-77.5,5.0,193000000000,11500,94.4,45.9,4.6,21.5,1.4,35.4
71,Egypt,Africa,27.0,30.0,,1204000000000,12700,80.8,31.8,12.2,27.8,4.0,26.6
72,El Salvador,Central America and the Caribbean,13.833333333333334,-88.91666666666667,3.8,51170000000,8000,88.1,36.0,7.0,32.7,2.2,32.3
73,Equatorial Guinea,Africa,2.0,10.0,,31520000000,37400,95.3,,8.6,44.0,,
74,Eritrea,Africa,15.0,39.0,,9402000000,1600,73.8,,5.8,50.0,,
75,Estonia,Europe,59.0,26.0,5.2,41650000000,31700,99.8,34.8,5.8,21.1,2.3,25.6
76,Eswatini,Africa,-26.5,31.5,7.1,11600000000,10100,87.5,50.4,28.0,63.0,1.7,40.1
77,Ethiopia,Africa,8.0,38.0,4.7,200600000000,2200,49.1,33.0,17.5,29.6,4.1,25.6
78,Falkland Islands (Islas Malvinas),South America,-51.75,-59.0,,206400000,70800,,36.0,1.0,,,
79,Faroe Islands,Europe,62.0,-7.0,,2001000000,40000,,22.7,2.2,10.0,,
80,Fiji,Oceania,-18.0,175.0,3.9,8629000000,9800,,,4.5,31.0,2.6,34.9
81,Finland,Europe,64.0,26.0,7.1,244900000000,44500,,27.2,8.5,,6.7,45.2
82,France,Europe;,46.0,2.0,5.5,2856000000000,44100,,29.3,9.4,14.2,3.6,25.4
83,French Polynesia,Oceania,-15.0,-140.0,,5490000000,17000,,,21.8,19.7,,
84,Gabon,Africa,-1.0,11.75,2.7,36660000000,18100,83.2,42.2,28.0,34.3,2.5,32.7
85,"Gambia, The",Africa,13.466666666666667,-16.566666666666666,3.1,5556000000,2600,55.5,50.2,,48.4,2.0,36.9
86,Gaza Strip,Middle East,31.416666666666668,34.333333333333336,5.3,,,96.9,,27.9,30.0,,
87,Georgia,Asia,42.0,43.5,3.8,39850000000,10700,99.8,40.1,11.8,9.2,2.0,31.3
88,Germany,Europe,51.0,9.0,4.8,4199000000000,50800,,27.0,3.8,16.7,3.6,24
89,Ghana,Africa,8.0,-2.0,4.5,134000000000,4700,76.6,42.3,11.9,24.2,2.0,32.8
90,Gibraltar,Europe,36.13333333333333,-5.35,,2044000000,61700,,,1.0,,,
91,Greece,Europe,39.0,22.0,,299300000000,27800,97.7,36.7,21.5,36.0,1.7,26.7
92,Greenland,Arctic Region,72.0,-40.0,,2413000000,41800,100.0,33.9,9.1,16.2,,
93,Grenada,Central America and the Caribbean,12.116666666666667,-61.666666666666664,10.3,1634000000,15100,98.6,,24.0,38.0,,
94,Guam,Oceania,13.466666666666667,144.78333333333333,,5793000000,35600,,,4.5,23.0,,
95,Guatemala,Central America and the Caribbean,15.5,-90.25,2.8,138100000000,8200,81.5,53.0,2.3,59.3,1.6,38.4
96,Guernsey,Europe,49.46666666666667,-2.5833333333333335,,3465000000,52500,,,1.2,,,
97,Guinea,Africa,11.0,-10.0,2.2,27970000000,2200,30.4,39.4,2.7,47.0,2.7,30.3
98,Guinea-Bissau,Africa,12.0,-15.0,2.1,3171000000,1900,59.9,,,67.0,2.9,28
